,Area (km2),Capital,Population
0,468.0,Andorra la Vella,84000
1,82880.0,Abu Dhabi,4975593
2,647500.0,Kabul,29121286
3,443.0,St. John's,86754
4,102.0,The Valley,13254
5,28748.0,Tirana,2986952
6,29800.0,Yerevan,2968000
7,1246700.0,Luanda,13068161
8,1.4E7,None,0
9,2766890.0,Buenos Aires,41343201
10,199.0,Pago Pago,57881
11,83858.0,Vienna,8205000
12,7686850.0,Canberra,21515754
13,193.0,Oranjestad,71566
14,1580.0,Mariehamn,26711
15,86600.0,Baku,8303512
16,51129.0,Sarajevo,4590000
17,431.0,Bridgetown,285653
18,144000.0,Dhaka,156118464
19,30510.0,Brussels,10403000
20,274200.0,Ouagadougou,16241811
21,110910.0,Sofia,7148785
22,665.0,Manama,738004
23,27830.0,Bujumbura,9863117
24,112620.0,Porto-Novo,9056010
25,21.0,Gustavia,8450
26,53.0,Hamilton,65365
27,5770.0,Bandar Seri Begawan,395027
28,1098580.0,Sucre,9947418
29,328.0,Kralendijk,18012
30,8511965.0,Brasília,201103330
31,13940.0,Nassau,301790
32,47000.0,Thimphu,699847
33,49.0,None,0
34,600370.0,Gaborone,2029307
35,207600.0,Minsk,9685000
36,22966.0,Belmopan,314522
37,9984670.0,Ottawa,33679000
38,14.0,West Island,628
39,2345410.0,Kinshasa,70916439
40,622984.0,Bangui,4844927
41,342000.0,Brazzaville,3039126
42,41290.0,Bern,7581000
43,322460.0,Yamoussoukro,21058798
44,240.0,Avarua,21388
45,756950.0,Santiago,16746491
46,475440.0,Yaoundé,19294149
47,9596960.0,Beijing,1330044000
48,1138910.0,Bogotá,47790000
49,51100.0,San José,4516220
50,110860.0,Havana,11423000
51,4033.0,Praia,508659
52,444.0,Willemstad,141766
53,135.0,Flying Fish Cove,1500
54,9250.0,Nicosia,1102677
55,78866.0,Prague,10476000
56,357021.0,Berlin,81802257
57,23000.0,Djibouti,740528
58,43094.0,Copenhagen,5484000
59,754.0,Roseau,72813
60,48730.0,Santo Domingo,9823821
61,2381740.0,Algiers,34586184
62,283560.0,Quito,14790608
63,45226.0,Tallinn,1291170
64,1001450.0,Cairo,80471869
65,266000.0,Laâyoune / El Aaiún,273008
66,121320.0,Asmara,5792984
67,504782.0,Madrid,46505963
68,1127127.0,Addis Ababa,88013491
69,337030.0,Helsinki,5244000
70,18270.0,Suva,875983
